100;Fr/Rear;VA/HA
565;Vehicle Equipment;
514;;
904;not for country-spec. model;
608;Brake System;
649;Brake System (txt);
232;Brake Disc Type;"Solid 1; Vent 8"
599;Surface;
200;Diameter [mm];
497;Outer diameter [mm];
274;Brake Disc Thickness [mm];
328;Minimum thickness [mm];
500;Number of Holes;
203;Length [mm];
814;Length 1 [mm];
815;Length 2 [mm];
206;Width [mm];
818;Width 1 [mm];
819;Width 2 [mm];
560;Bolt Hole Circle ? [mm];
209;Height [mm];
339;Height 1 [mm];
340;Height 2 [mm];
501;Centering Diameter [mm];
124;Thickness [mm];
1168;Thickness/Strength 1 [mm];
1169;Thickness/Strength 2 [mm];
496;Inner Diameter;
1197;for PR number;
593;Wear Warning Contact;
264;Number of wear indicators;
955;for brake disc diameter [mm];
122;Manufacturer Restriction;
1159;Fits rim size [inch];
864;not for rim size [in];
1592;for POC;
836;Supplementary Article/Supplementary Info 2;
714;Brakes- / Drive Dynamics Articles;
233;Brake Type;Disc Brake (1)\Drum Brake (3)
596;Supplementary Article/Supplementary Info;
1537;Recommended additional repairs;
1550;Articles contained in addition to the OE set;
1890;Какой то непонятный критерий;